no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Report @NFIDVaccines show only 46% of college students get #vaccines for #influenza. Incentives such as free food &amp;…,FALSE,0,NA,3/4/19 17:18,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AJPHThinkTank,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,It’s #teatime☕️ 😃 @ocha_teabar . #todaysoup is #beefbarley 👍 . #happymonday😊 😊 #coldblastertea #fightflu #tea…,FALSE,0,NA,3/4/19 17:08,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",OCHA_TEABAR,0,FALSE,FALSE,-123.1219081,49.27621248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Partnerships @ASTHO @CDCgov help reach disadvantaged populations through #influenza initiatives and must continue t…,FALSE,0,NA,3/4/19 16:01,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JasonKirchick,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Don’t let the flu interrupt your spring break plans. Lucky for you, there’s still time to get the flu shot. Walk-in…",FALSE,1,NA,3/4/19 14:56,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Beak_Healthy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Getting a flu vaccine every year is the best way to protect yourself and your family from flu and its potentially s…,FALSE,0,NA,3/4/19 14:36,TRUE,NA,1.10E+18,NA,"<a href=\https://www.mavsocial.com\"" rel=\""nofollow\"">MavSocial App</a>""",NashuaPHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Are you helping to #fightflu? Protect yourself and others with these 3 actions: Get a #flu vaccine. ✔️ Practice h…,FALSE,1,NA,3/4/19 14:33,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HealthyStMarys,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Feeling like you might have the flu? It's important to start antiviral treatments within 48 hrs of onset. Call your…,FALSE,4,NA,3/4/19 0:25,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",AAFANational,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,@jimmyfallon Gets a #Flu Shot from The Masked Vaccinator @DrOz#LeadingByExample,FALSE,0,jimmyfallon,3/4/19 0:00,TRUE,NA,1.10E+18,15485441,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,WATCH: Draft prospect Quinnen Williams is faster than NFC West QBs via @cards_wire Our…,FALSE,3,NA,3/3/19 20:25,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,How do we #FightFlu? The best way we know how: conducting solid research. We strive to improve #flu prevention stra…,FALSE,7,NA,3/3/19 18:41,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",abtassociates,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Winter Health Myths Busted! Spoiler alert: the flu shot does not give you the #flu via…,FALSE,1,NA,3/3/19 18:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Our 2018 @outlandtrophy recipient. #FightFlu and @NFIDvaccines.,FALSE,10,NA,3/3/19 17:27,FALSE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",outlandtrophy,5,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Laura Scott served as our ED until her passing on 3/3/15. Her love and support helped our families through our grie…,FALSE,12,NA,3/3/19 17:12,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Senior Life: Did you know #influenza complications can include heart attack and stroke?,FALSE,4,NA,3/3/19 15:15,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Is it a cold or #flu? Learn more: #GetVaccinated to help #FightFlu,FALSE,2,NA,3/3/19 14:30,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,One of our three 2018 @outlandtrophy finalists. #FightFlu and @NFIDvaccines.,FALSE,4,NA,3/3/19 1:34,FALSE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",outlandtrophy,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,What’s it like trying to block Quinnen Williams?,FALSE,5,NA,3/3/19 1:26,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"#REPOST via nicoleburron (IG) I still have a lot to get done, so I can't risk getting the flu. That's why I got my…",FALSE,0,NA,3/2/19 22:59,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Winter is here and so is the flu! Know the symptoms and fight the flu this season with helpful information at…,FALSE,1,NA,3/2/19 20:05,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",SMWesterly,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Need help finding where to #getyourflushot? Visit the link provided to locate the nearest place to get the flu vac…,FALSE,0,NA,3/2/19 17:29,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Our 1987 @outlandtrophy recipient. #FightFlu and @NFIDvaccines.,FALSE,8,NA,3/2/19 15:30,FALSE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",outlandtrophy,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"@CDCFlu While you #FightFlu, you can #PlayFlu too at",FALSE,0,CDCFlu,3/2/19 2:08,FALSE,1.10E+18,1.10E+18,16616061,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",glorkiogame,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Flu has taken over! Play to experience it from a new perspective. #FightFlu #PlayFlu,FALSE,0,NA,3/2/19 2:06,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",glorkiogame,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,The best way to #FightFlu is to avoid being exposed to the flu. Wash your hands well and often. Avoid sick people.…,FALSE,1,NA,3/2/19 0:46,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",AAFANational,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Can Houston's Ed Oliver break paradigms like Kyler Murray? via @YahooCASports…,FALSE,2,NA,3/1/19 23:15,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,".@JonahGWilliams of @AlabamaFTBL, one of three 2018 @outlandtrophy finalists. #FightFlu and @NFIDVaccines.",FALSE,1,NA,3/1/19 21:46,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,".@JonahGWilliams of @AlabamaFTBL, one of three 2018 @OutlandTrophy finalists. #FightFlu and @NFIDVaccines.",FALSE,1,NA,3/1/19 21:41,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,#FluFactFriday: Recent studies show flu shots cut hospital risk during pregnancy. Learn more about Abt’s…,FALSE,0,NA,3/1/19 21:06,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",abtassociates,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Flu strains are circulating across the U.S. with 48 states reporting widespread flu activity. The @CDCgov estimates…,FALSE,1,NA,3/1/19 19:51,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",UFHealthNews,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CDC flu report: 15 more children have died. Story at #FightFlu #VaccinesWork,FALSE,1,NA,3/1/19 18:25,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",AAPNews,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"It's still #fluseason! Remember, if you're caring for children, prevent spread of #flu. Call your…",FALSE,0,NA,3/1/19 18:00,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",SNHDflu,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,One of the most challenging moments of my pregnancy was when I was battling the flu. Get the flu shot. This is a ho…,FALSE,3,NA,3/1/19 17:56,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",frankieBRLA,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,#REPOST via IG: xmiahxtrinityx The flu is most dangerous for children and the elderly.— Don’t be a statistic in 20…,FALSE,0,NA,3/1/19 17:05,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A key study has found NO link between flu shot and miscarriage. Experts recommend that pregnant women receive a flu…,FALSE,7,NA,3/1/19 15:46,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",MODAdvocacy,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Flu is widespread in Cook County, but the good news is it is never too late to get a flu shot! #FightFlu",FALSE,0,NA,3/1/19 15:10,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CookCtyHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"GERMS BEWARE! @nationalpta and lysol just donated 10 cases of wipes to our school, so we’re ready to #fightflu 💙 @…",FALSE,6,NA,3/1/19 14:11,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",FolksPta,1,FALSE,FALSE,-98.73589947,29.53564288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"#FluFactFriday: As a possible second wave of #influenza is reported, remember the consequences of the #flu are more…",FALSE,0,NA,3/1/19 14:06,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",MedPedsAllergy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"CDC estimates that there have been as many as 22,300 flu-associated deaths so far this season (between Oct. 1, 2018…",FALSE,0,NA,3/1/19 0:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",GreeneCoPH,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Studies show that vaccine strains grown in eggs tend to mutate over time and that cell-based flu vaccines, which 1s…",FALSE,5,NA,2/28/19 23:18,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Caregivers: Children younger than 6 months are at high risk of serious flu complications, but are too young to get…",FALSE,2,NA,2/28/19 23:01,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",HeadStartgov,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"It's still flu season. The best way to protect yourself is to get immunized, cover your cough, and wash your hands.…",FALSE,2,NA,2/28/19 21:55,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",AHS_CentralZone,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"The @CDCgov's vaccine committee just discussed flu vaccine effectiveness, its safety for pregnant women and revisio…",FALSE,10,NA,2/28/19 21:50,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",AAPNews,7,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Also at #ACIP yesterday, the results of a study that showed no link between #flu shots and #miscarriage. Via…",FALSE,1,NA,2/28/19 19:00,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MedPageID,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Congratulations and thank you to @jake7bunz who, along with teammate Will Johnson, helped @DHSWI promote the import…",FALSE,1,NA,2/28/19 18:21,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",DHSWI,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Atlantic Ultraviolet Has Installed a Sanitaire UV-C Room Air Sanitizer to Protect Occupants from Infection due to F…,FALSE,0,NA,2/28/19 18:05,TRUE,NA,1.10E+18,NA,"<a href=\https://coschedule.com\"" rel=\""nofollow\"">CoSchedule</a>""",AtlanticUVCorp,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,#FluFact: #Handwashing is one of the simplest ways to prevent the spread of #flu and other illnesses. There is a ri…,FALSE,1,NA,2/28/19 18:02,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",SNHDflu,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"If you have #heartdisease, take 3 actions to #FightFlu. 1. Get your flu vaccine. 2. Take everyday preventive act…",FALSE,0,NA,2/28/19 14:53,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",rosscohealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,The best way to prevent a worldwide #flu pandemic starts with solid research. Learn how our infectious disease ex…,FALSE,4,NA,2/28/19 13:05,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",abtassociates,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,@jillpromoli @4jude4everyone @celliottability @GinettePT @CanPaedSociety @ImmunizedotCa @ChelseaClinton…,FALSE,3,jillpromoli,2/28/19 1:58,TRUE,1.10E+18,1.10E+18,32871593,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",NursesWhoVax,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,DT Williams to skip bench press at combine - #GoogleAlerts Our 2018 @OutlandTrophy recipien…,FALSE,0,NA,2/28/19 1:08,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Glad to see that legislators are getting their briefings from #flu experts. We support the quest for a universal f…,FALSE,4,NA,2/27/19 20:22,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",famfightflu,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
